code,title,description,key,note,offered,credits,prereqs,ol_prereqs,restrictions,srcdb
"ACCT 499","Internships","Directed applicable work experience under supervision of the Director of Business Internships and an accounting or business professional at the place of employment.  Applications are processed through the department Faculty Intern Advisor. Applicants must apply the semester prior to starting the internship.","22","","Resident and Online","1","","","","2022"
"ACCT 511","Advanced Business Law for Accountants","This advanced course seeks to equip the student with an in-depth understanding of business law specifically as it relates to the legal issues that are encountered by certified public accountants. This course is designed to further the student's knowledge and understanding of the law in such areas as the Uniform Commercial Code, contracts, securities regulation, organizational structure and formation, ethics, the Sarbanes-Oxley Act, property and insurance, and other forms of government regulation of business.","23","","Online","3","Financial Accounting with a score of 3 and Managerial Accounting with a score of 3 and Intermediate Accounting I with a score of 3 and Intermediate Accounting II with a score of 3 and Cost Accounting with a score of 3 and Auditing with a score of 3 and Taxation with a score of 3","","","2022"
"ACCT 521","Advanced Cost Accounting","This course will examine the importance of analyzing and managing costs; activity-based management, process costing and cost allocation; planning and decisions making, and evaluating and managing performance. This course is designed primarily for accounting/finance majors who seek careers or are already employed in for profit corporations or not for profit organizations as public (such as CPAs) or private (such as controllers and/or CMAs or CFMs) accounting/business leaders in a fast changing, highly technically oriented society.","24","","Online","3","ACCT 531 and (ACCT 511 or BUSI 532) and (BMAL 590 or Bus Cmn Pro Cpnt/27hr BUSI Req with a score of 3)","","","2022"
"ACCT 531","Accounting Information Systems","This course builds upon the student's existing basic knowledge of how accounting information systems function in today's business environment. It strongly emphasizes the internal control features necessary to provide accurate and reliable accounting data as it looks at how accounting information is recorded, summarized, and reported in both manual and computerized systems. Internal control as it applies to production processes as required by Rule 404 of the Sarbanes-Oxley Act of 2002 is part of this course.","25","","Online","3","Financial Accounting with a score of 3 and Managerial Accounting with a score of 3 and Intermediate Accounting I with a score of 3 and Intermediate Accounting II with a score of 3 and Taxation with a score of 3 and Cost Accounting with a score of 3 and Auditing with a score of 3","","","2022"
"ACCT 612","Tax Research and Jurisprudence","This innovative course seeks to equip the student with an in-depth understanding of the best tax research methods while providing the student with the opportunity to analyze the statutory and judicial doctrines that collectively give rise to the conceptual framework of tax law. The students will engage in tax research that will give them the opportunity to understand, analyze, and apply these familiar tax doctrines to a host of sophisticated and contemporary fact patterns. ","26","","Online","3","ACCT 531 and ACCT 511 and (BMAL 590 or Bus Cmn Pro Cpnt/27hr BUSI Req with a score of 3)","","","2022"
"ACCT 614","Estate, Trust, and Gift Taxation","This course explores the taxation of estates, trusts, and gift returns, with a focus on estate planning.","27","","Online","3","(ACCT 511 and ACCT 531 or BUSI 532) and (BMAL 590 or Bus Cmn Pro Cpnt/27hr BUSI Req with a score of 3)","","","2022"
"ACCT 616","Advanced Topics in Individual and Pass-through Taxation","This course examines the various taxation implications of pass-through entities, particularly as they apply to an individual's personal tax return.","28","","Online","3","ACCT 511 and ACCT 531 and (BMAL 590 or Bus Cmn Pro Cpnt/27hr BUSI Req with a score of 3)","","","2022"
"ACCT 618","Advanced Topics in Corporate Taxation","This course explores current topics within the field of corporate taxation, as well as the impact of corporate taxes on shareholders.","29","","Online","3","ACCT 531 and ACCT 511 and (BMAL 590 or Bus Cmn Pro Cpnt/27hr BUSI Req with a score of 3)","","","2022"
"ACCT 622","Advanced Auditing","This advanced course provides students with actual applications of auditing procedures by exploring cases in which auditing was prominent and includes: Auditor's Ethical Responsibilities, Auditor's Responsibility to Detect Fraud, Event leading to creation of the Public Company Accounting Oversight Broad (PCAOB) and Classic Court Cases affecting auditors.","30","","Online","3","ACCT 511 and ACCT 531 and (BMAL 590 or Bus Cmn Pro Cpnt/27hr BUSI Req with a score of 3)","","","2022"
"ACCT 632","Advanced Financial Accounting Theory","This advanced course in financial accounting theory presents an in-depth analysis of the historical development of accounting theory and its application to current and future accounting issues. The course utilizes a case approach that provides a blend of theory, practice, and research. The course enhances critical thinking skills by synthesizing the professional accountant's understanding and knowledge of accounting theory with the resolution of real world accounting problems. The course incorporates a global perspective with respect to the development and analysis of accounting standards.","31","","Online","3","ACCT 612 and ACCT 511 and ACCT 521 and ACCT 531 and ACCT 622","","","2022"
"ACCT 635","Advanced Research for Financial Reporting","This course explores current issues within the field of financial reporting by examining recent pronouncements from the Financial Accounting Standards Board (FASB), and how those pronouncements will affect financial reporting.","32","","Online","3","ACCT 531 and ACCT 511 and (BMAL 590 or Bus Cmn Pro Cpnt/27hr BUSI Req with a score of 3)","","","2022"
"ACCT 642","Accounting Ethics","This course evaluates accounting ethics research in the context of a Christian worldview perspective and in relation to the development of the profession's code of professional conduct. The course examines the major ethical systems that exist today and distinguishes those that are compatible with a Christian worldview to enable the student to develop a sound framework for ethical decision making. The course present an in-depth analysis of the two prevailing ethical systems (rule deontology and utilitarianism) advocated for the accounting profession and examines their appropriateness in resolving accounting ethics dilemmas as they relate to the profession's code of conduct. The course also presents an ethical decision making model based on the profession's code of professional conduct that is compatible with a Christian worldview.","33","","Online","3","ACCT 622 and ACCT 612 and ACCT 511 and ACCT 521 and ACCT 531","","","2022"
"ACCT 650","Corporate Governance and Fraudulent Financial Reporting","This course examines corporate fraudulent financial reporting and the impact on corporate governance issues.","34","","Online","3","ACCT 511 and ACCT 531 and (BMAL 590 or Bus Cmn Pro Cpnt/27hr BUSI Req with a score of 3)","","","2022"
"ACCT 654","Fraud Examination","This course provides an overview of the field of fraud examination, and discusses potential techniques to prevent fraud.","35","","Online","3","ACCT 511 and ACCT 531 and (BMAL 590 or Bus Cmn Pro Cpnt/27hr BUSI Req with a score of 3)","","","2022"
"ACCT 660","Information Technology and Fraud","This course explores how information technology may be utilized as a tool to prevent and detect fraud","36","","Online","3","ACCT 511 and ACCT 531 and (BMAL 590 or Bus Cmn Pro Cpnt/27hr BUSI Req with a score of 3)","","","2022"
"ACCT 697","Special Topics in Accounting","Topics of special interest not included in the regular department offerings.  May be taken more than once, but no topic may be repeated.","37","","","3","","","","2022"
"ADCN 505","Techniques in Addiction Counseling","This course provides students an understanding of effective addiction counseling interventions from individual, relational, and systems perspectives with unique emphasis on motivational interviewing. Students also examine personal characteristics and their effect on individual, couple and family counseling using case discussion and analysis.","38","","Online","3","CEFS 501 or COUN 501 or MAAC 501","","","2022"
"ADCN 512","Group Dynamics","This course enables students to understand the types of groups, their purpose, development of dynamics, counseling theories, and group counseling methods and skills. Ethical and legal considerations are also explored. Group work specific to addiction counseling is highlighted. Students are required to participate in small groups for educational and self-assessment purposes. ","39","","Online","3","((CEFS 501 or MAAC 501 or COUN 501) and (CEFS 504 or MAAC 504 or COUN 504) and (CEFS 510 or MAAC 510 or COUN 510) and (ADCN 505 or MAAC 505))","","","2022"
"ADCN 605","Client, Family, and Community Education in Addiction Counseling","This course provides an overview of the process of providing clients, families, significant others, and community groups with information on risks related to psychoactive substance use, as well as available prevention, treatment and recovery resources. Cultural diversity is appreciated and highlighted. Factors that increase the likelihood for an individual, community, or group to be at-risk for, or resilient to, psychoactive substance use disorders are described, as well as health and behavior problems related to addiction including infectious diseases such as HIV/AIDS, TB, and STDs.","40","","Online","3","(CEFS 501 or MAAC 501 or COUN 501) and (CEFS 510 or MAAC 510 or COUN 510) and (ADCN 505 or MAAC 505)","","","2022"
"ADCN 606","Pharmacology of Addiction and Recovery","This course focuses on the pharmacological aspects of addiction and recovery and how addiction affects the physical, emotional, social, and spiritual aspects of the person. In addition to the addictive nature and properties of various substances and behaviors, pharmacological treatment approaches to withdrawal, treatment, recovery, and relapse prevention are also reviewed.","41","","Online","3","(CEFS 501 or MAAC 501 or COUN 501) and (CEFS 510 or MAAC 510 or COUN 510) and (CEFS 691 or COUN 691) and (ADCN 505 or MAAC 505)","","","2022"
"ADCN 607","Case Management and Relapse Prevention in Addiction Counseling","This course emphasizes the coordinated approach to the delivery of substance abuse and addiction services. Effective case management focuses on the whole person, addresses other client psychosocial problems, and is associated with treatment retention which leads to better outcomes. The role of effective documentation, referral, and relapse prevention are highlighted.","42","","Online","3","(CEFS 501 or MAAC 501 or COUN 501) and (CEFS 510 or MAAC 510 or COUN 510) and (ADCN 505 or MAAC 505)","","","2022"
"ADCN 608","Diagnosis and Treatment of Behavioral Addictions","This course provides an overview of the history, theory, and current research perspectives in the etiology, assessment, diagnosis and treatment of behavioral addictions. Specific attention will be paid to examining the similarities and differences between substance addictions and behavioral addictions. Physiological, psychological, and sociocultural aspects will be explored.","43","","Online","3","(CEFS 501 or MAAC 501 or COUN 501) and (CEFS 510 or MAAC 510 or COUN 510) and (CEFS 691 or COUN 691) and (ADCN 505 or MAAC 505)","","","2022"
"ADCN 667","Diagnosis and Treatment Planning of Addictive Disorders","Students become knowledgeable of the principles of clinical diagnosis and the development of treatment plans. The current edition of the Diagnostic and Statistical Manual is emphasized, with consideration also given to dimensional, relational, and systemic issues important in diagnosis and treatment planning. Substance related and addictive disorders are emphasized with special consideration given to co-occurrence with other disorders. ","44","","Online","3","(CEFS 501 or MAAC 501 or COUN 501) and (CEFS 504 or MAAC 504 or COUN 504) and (CEFS 510 or MAAC 510 or COUN 510) and (CEFS 515 or MAAC 515 or COUN 515) and (CEFS 521 or MAAC 521 or COUN 521) and (CEFS 546 or MAAC 646 or COUN 646) and (CEFS 691 or COUN 691) and (ADCN 505 or MAAC 505) and (ADCN 512 or MAAC 512)","","","2022"
"ADCN 699","Addiction Counseling Internship","This course involves an intensely supervised experience in the student's designated program area at an approved site. Students are required to complete a total of 300 clock hours of addiction counseling and related services, 150 of which are direct client contact hours. While gaining direct service experience with clients, students regularly meet with an approved supervisor. Student counseling performance is evaluated throughout the internship. The student's professional development along with the dynamics of the counseling relationship, diagnosis, treatment, and legal/ethical issues are primary areas of focus.","45","","Online","3","(CEFS 501 or MAAC 501 or COUN 501) and (CEFS 504 or MAAC 504 or COUN 504) and (CEFS 510 or MAAC 510 or COUN 510) and (CEFS 521 or MAAC 521 or COUN 521) and (CEFS 546 or MAAC 646 or COUN 646) and (CEFS 601 or MAAC 601 or COUN 601) and (CEFS 691 or COUN 691) and (ADCN 667 or MAAC 667)","","","2022"
"AIRS 001","Leadership Laboratory","","46","","Resident","0","","","","2022"
"AIRS 110","Heritage and Values I","A survey course designed to introduce students to the United States Air and Space Forces and provides an overview of the basic characteristics, missions, and organization of the Air and Space Forces.","47","","Resident","1","","","","2022"
"AIRS 120","Heritage and Values II","A continuation of <a href=""/search/?p=AIRS%20110"" data-action=""result-detail"" data-group=""code:AIRS 110"" >AIRS 110</a>.","48","","Resident","1","","","","2022"
"AIRS 210","Team and Leadership Fundamentals I","This course provides a fundamental understanding of both leadership and team building. The lessons and course flow are designed to prepare students for field training and leadership positions in the detachment.","49","","Resident","1","","","","2022"
"AIRS 220","Team and Leadership Fundamentals II","A continuation of <a href=""/search/?p=AIRS%20210"" data-action=""result-detail"" data-group=""code:AIRS 210"" >AIRS 210</a>.","50","","Resident","1","","","","2022"
"AIRS 310","Leading People and Effective Communication I","This course utilizes student’s field training experience to take a more in-depth look at leadership. Special emphasis is placed on enhancing communication skills, and why that is important as a leader. Students have an opportunity to try out these leadership and management techniques in a supervised environment as juniors and seniors.","51","","Resident","3","","","","2022"
"AIRS 320","Leading People and Effective Communication II","A continuation of <a href=""/search/?p=AIRS%20310"" data-action=""result-detail"" data-group=""code:AIRS 310"" >AIRS 310</a>.","52","","Resident","3","","","","2022"
"AIRS 410","National Security/Commissioning Preparation I","This course is designed for college seniors and gives them the foundation to understand their role as military officers and how they are directly tied to our National Security Strategy. It is an overview of the complex social and political issues facing the military profession and requires a measure of sophistication commensurate with the senior college level.","53","","Resident","3","","","","2022"
"AIRS 420","National Security/Commissioning Preparation II","A continuation of <a href=""/search/?p=AIRS%20410"" data-action=""result-detail"" data-group=""code:AIRS 410"" >AIRS 410</a>.","54","","Resident","3","","","","2022"
"AMOA 203","Medical Office Systems and Procedures","This course prepares students for the administrative tasks relevant to operating and supervising a medical office of health professionals. Students learn to plan and organize work load, set priorities, develop initiative among employees and coordinate multiple tasks within a time sensitive environment. The value of compassionate professionalism when interacting with patients, family members and staff is stressed.","55","","Online","3","NURS 105","","","2022"
"AMOA 204","Medical Office Insurance","This course acquaints students with billing protocol concerning the various insurance filing demands of commercial group insurance, Medicare, Medicaid, Workman's compensation claims and other third party billing entities.","56","","Online","3","NURS 105","","","2022"
"AMOA 206","Medical Office Billing and Bookkeeping","This course provides students with up-to-date information regarding best practices of patient billing and bookkeeping for a medical office.","57","","Online","3","NURS 105","","","2022"
"AMOA 207","Medical Office Coding","This course trains students in medical procedural and diagnostic coding skills. Emphasis is placed upon the utilization of coding manuals for insurance claim processing.","58","","Online","3","NURS 105 and HLTH 211 and HLTH 212","","","2022"
"AMOA 254","Medical Office Infection Control","This course educates the student regarding the seriousness of infection control within the medical office and the role the Medical Office Assistant plays in compliance.","59","","Online","3","NURS 105 and HLTH 211 and HLTH 212","","","2022"
"AMOA 256","Medical Office Ethics and Law","The student is educated about the general ethical and legal aspects in medicine with an emphasis upon confidentiality, HIPAA, risk management, licensing, contracts and professional liability.","60","","Online","3","NURS 105","","","2022"
"AMOA 296","Externship","This course is a planned work-based experience that provides students with an opportunity to fine-tune skill sets learned in course work and enhance workplace skills through supervised practical experiences related to their career objectives. This course requires a minimum of 160 clock hours of work.","61","","Online","3","","","","2022"
"APOL 120","Apologetics","A survey of the evidences for the central truths of Christianity: the existence of God, the deity and resurrection of Christ, and the authority and truth of the Bible.","62","Willmington School of the Bible course","Online","3","","","","2022"
"APOL 201","Apologetics and Cultural Engagement","This course equips students to use apologetics to engage with the culture using the various current issues of the day as entry points to the Gospel. Students will be trained to think critically from a biblical worldview and engage winsomely on such issues as evil in the world, critical claims about Jesus in the popular culture, new atheism, race issues, and sexuality.","63","","Resident","3","","","","2022"
"APOL 220","Introduction to Apologetics","This course equips students with a foundational understanding of, and skills within, the field of apologetics. Students will explore the major apologetic issues that arise today and will learn both the critical thinking skills and theological principles in order to respond persuasively.","64","","Online","3","","","","2022"
"APOL 250","Faith, Reason, and the Search for Meaning","A course that explores the relationship between faith and reason. This course will provide an overview on the use of logic and critical thinking skills as they pertain to key issues at the intersection of theology and philosophy, such as the existence of God, the nature of faith, the incarnation, the resurrection, human constitution, and the Trinity.","65","","Resident","3","","","","2022"
"APOL 310","Apologetics in a Secular Age","This course develops an apologetic approach which takes into account the values and plausibility structures of the late modern, secular age. Particular emphasis will be given to understanding current cultural movements and values and constructing a person-centered approach to the apologetic task.","66","","Online","3","APOL 220","","","2022"
"APOL 311","Foundational Issues in Apologetics","Surveys the various approaches to Christian apologetics with the aim at understanding the theology that drives each approach. The course will critically engage with the works of leading proponents of the approaches in order for students to develop their own approach and method in apologetics. Furthermore, core areas of Christian doctrine, such as Theology Proper, Christology, and Bibliology, will be explored and defended.","67","","Resident","3","APOL 201","","","2022"
"APOL 320","Apologetics and the Gospel","This course examines key questions related to the identity and ministry of Jesus, particularly as it relates to the historicity of the New Testament's portrayal of Jesus. Primary attention is given to examining historical evidence related to Jesus' existence, his ministry, miracles, deity, death, and resurrection as well as understanding Jesus as a part of the larger biblical story.","68","","Online","3","APOL 220","","","2022"
"APOL 325","Christianity and the Cults","This course examines the history and beliefs of those systems that claim to be Christian yet deny fundamental Christian doctrines such as the sole sufficiency of the Bible, the Trinity, the deity of Christ, salvation by faith in Christ alone without works, the eternal punishment of the wicked, and other pertinent doctrines.  Groups discussed include Jehovah's Witnesses, Mormonism, Seventh-day Adventism, Christian Science and others.","69","","Resident","3","","","","2022"
"APOL 330","C.S. Lewis and the Apologetic Imagination","This course examines the apologetic writings of C. S. Lewis. Particular focus is given to understanding Lewis within his context as well as drawing from various aspects of his apologetic approach for the current cultural moment.","70","","Online","3","APOL 220","","","2022"
"APOL 431","Introduction to Islam","This course explores the historic rise and expansion of Islam as well as basic Muslim beliefs and practices. Attention is also given to the diversity within the world of Islam. (Crosslisted with <a href=""/search/?p=GLST%20431"" data-action=""result-detail"" data-group=""code:GLST 431"" >GLST 431</a>)","71","","Resident","3","","","","2022"
"APOL 480","Biblical Studies and Apologetics","Exposes students to the best biblical scholarship being used in apologetics. Students will engage with such areas as Textual Criticism, Old Testament studies, New Testament studies, and Archaeology.","72","","Resident","3","APOL 201","","","2022"
"APOL 497","Special Topics in Apologetics","","73","","Resident","1","","","","2022"
"APOL 500","Introduction to Apologetics","This course surveys basic issues in apologetics. The student also learns to evaluate worldviews, constructing and using appropriate Christian apologetic arguments against opposing worldviews.","74","","Resident and Online","3","","","","2022"
"APOL 520","History of Christian Apologetics","A survey of the history of Christian apologetics. The course will offer a contextualized study of key apologists in the history of Christianity including Justin Martyr, Irenaeus, Origen, Augustine, Anselm, Thomas Aquinas, John Calvin, Blaise Pascal, William Paley, B. B. Warfield, and C. S. Lewis. The study will focus upon the contribution of each apologist to Christian thought.","75","","Resident and Online","3","","","","2022"
"APOL 525","Pluralism and World Religions","A contrast between the truth-claims of the major world religions and the uniqueness of Christian theistic apologetics, both in content and method. (Formerly <a href=""/search/?p=APOL%20560"" data-action=""result-detail"" data-group=""code:APOL 560""  class=""notoffered"">APOL 560</a>)","76","","Resident and Online","3","","","","2022"
"APOL 550","Faith and Reason","An introduction to basic issues in the intersection between faith and reason. The course will provide an introduction to the use of logic in apologetics and will consider key issues such as the nature of God, the definition of faith, religious epistemology, the nature of man and the human mind, and divine providence.","77","","Resident and Online","3","APOL 500","","","2022"
"APOL 610","Miracles","Presents a detailed study of contemporary denials of miracles, emphasizing the resurrection of Jesus and the part it plays in Christian apologetics and theology.","78","","Resident and Online","3","","","","2022"
"APOL 620","Evil, Suffering, and Hell","An advanced study of the differing forms of the problem of evil and suffering. The course will explore the problem and investigate various theodicies and responses to the problem. Attention will also be given to the issue of hell and eternal damnation.","79","","Resident and Online","3","APOL 550","","","2022"
"APOL 630","Current Issues in Apologetics","An investigation of current issues and trends in apologetics, such as the intersection of science and religion, the problem of evil, atheism, or secularism.","80","","Resident and Online","3","APOL 500","","","2022"
"APOL 679","Apologetics Capstone","The student should be able to demonstrate an ability to reflect, integrate and apply apologetics knowledge to a specific problem facing Christianity. Apologetic reflection should be transformational, in that it influences, motivates, and empowers the student to live for Christ and further His kingdom.","81","","Resident and Online","3","","","","2022"
"APOL 695","Directed Research in Apologetics","Designed for the advanced student in good standing who has demonstrated an ability to work independently. The student will work with the instructor in developing a proposal for guided research in a specified area of Apologetics.","82","","Resident and Online","1","","","","2022"
"APOL 697","Seminar in Apologetics","An intensive study in a specific subject of Apologetics. This course allows variation in the approach and content of the regular curriculum and often will be used by visiting professors.","83","","Resident and Online","1","","","","2022"
"APOL 701","Ministry Foundations for Applied Apologetics","This course offers a broad introduction to ministry as an expression of applied apologetics, the challenges and opportunities related to ministry in the contemporary context of the 21st century, and the various expressions of the practice of ministry","84","","Online","3","RTCH 805 and THEO 706","","","2022"
"APOL 702","Philosophical Foundations for Applied Apologetics","This course introduces students to relevant philosophical foundations for learning and critical thinking in a way that will prepare them for their future academic work related to applied apologetics.","85","","Online","3","RTCH 805 and THEO 706","","","2022"
"APOL 810","Miracles, the Resurrection, and Christian Ministry","This course examines the apologetic value of the miraculous, giving special emphasis to the resurrection of Jesus, as it bears on Christian theology and the life and mission of the Church.","86","Available to DMIN Students only","Online","3","DMIN 810","","","2022"
"APOL 815","Dissertation Concept Development for Applied Apologetics","In this course students will facilitate the development of the dissertation concept. Comprehensive exams over the foundational courses will allow students to demonstrate the mastery of the undergirding principles of this degree and their focused area of applied apologetics.","87","","Online","3","RTCH 805","","","2022"
"APOL 820","Cultural Apologetics","This course equips students to understand, evaluate, and engage cultural trends from a Christian ministerial perspective. Students will learn a biblical theology of culture which they will use to evaluate strategies for church engagement in the culture. Particular emphasis will be placed on the intersections that exist between ecclesial ministry, cultural influences in the western world, and apologetics.","88","","Online","3","DMIN 810","","","2022"
"APOL 845","Applied Apologetics Literature Review I","This course familiarizes students with the processes, resources, and skills involved in surveying, analyzing, and synthesizing the scholarly literature related to a research topic to position the student’s own research within the scholarly conversation of the topic.","89","","Online","3","APOL 701 and APOL 702 and APOL 815 and RTCH 710 and RTCH 805 and THEO 706","","","2022"
"APOL 846","Applied Apologetics Literature Review II","This course applies the principles, resources, and skills learned in previous courses for conducting an academic literature review, including the theoretical framework and research methodology. Students will accomplish this by creating a literature review of the academic conversations around their proposed topic for the purpose of determining both their topic’s suitability for a dissertation as well as positioning the student’s research as a contribution to the on-going scholarly conversations of the topic.","90","","Online","3","APOL 845","","","2022"
"APOL 847","Applied Apologetics Topical Research I","In this course, students will be introduced to the various methods and requisite skills involved in conducting focused doctoral-level research of a proposed topic, including both research modalities and resources required to conduct a thorough investigation of a topic in support of a proposed dissertation.","91","","Online","3","APOL 845 and APOL 846","","","2022"
"APOL 848","Applied Apologetics Topical Research II","In this course, students will learn to execute focused research in an appropriate field of study and further develop their ability to both collect data and use that data in ways that are discernable to an academic audience. Students will accomplish this by identifying a research inquiry that is appropriate to their program, designing a research argument that helps satisfy that inquiry, and producing an academic presentation that articulates that argument and reflects scholarly research.","92","","Online","3","APOL 847","","","2022"
"APOL 849","Applied Apologetics Dissertation Presentation I","In this course students will improve their ability to synthesize information and articulate the relationships between interrelated concepts that pertain to an appropriate area of study. To this end, students will examine and analyze the scholarly works of others so that they may grow in their ability to organize an argument in a compelling way.","93","","Online","3","APOL 847 and APOL 848","","","2022"
"APOL 850","Applied Apologetics Dissertation Presentation II","In this course students will draw upon what they have learned throughout this program to develop a compelling dissertation concept and articulate how a compelling argument will be investigated and ultimately satisfied in their coming dissertation project. This will be achieved after students fine-tune a dissertation proposal and develop an engaging and well-organized presentation of what they hope to demonstrate in their dissertation project.","94","","Online","3","APOL 849","","","2022"
"APOL 900","Reading Seminar in Apologetics","A reading seminar which focuses on the basic literature in the field. ","95","","Resident","3","","","","2022"
"APOL 910","Apologetic Method","A seminar critically examining various methods and taxonomies of apologetics. A detailed study of major Christian apologetic methodologies, as espoused by representative thinkers, from New Testament times to the present.  Emphasis is placed on the structure and defense of various systems, including the formulation of a personal apologetic strategy.","96","","Resident","3","","","","2022"
"APOL 920","Resurrection and Miracles","A seminar examining classic and modern arguments against the miraculous with special attention to the resurrection of Jesus Christ.","97","","Resident","3","","","","2022"
